"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +5.43329680251E-002, +1.34289323530E-003
+5.19950000000E+004, +5.43895132739E-002, +1.17710522334E-003
+5.39900000000E+004, +5.43984519285E-002, +1.08606615369E-003
+5.59850000000E+004, +5.44496797668E-002, +1.12823773997E-003
+5.79800000000E+004, +5.44312511466E-002, +1.07417707035E-003
+5.99750000000E+004, +5.44624446760E-002, +1.11331356448E-003
+6.19700000000E+004, +5.44791856886E-002, +1.16291138949E-003
+6.39650000000E+004, +5.44567669266E-002, +1.09145763180E-003
+6.59600000000E+004, +5.44853181263E-002, +1.06586252564E-003
+6.79550000000E+004, +5.45221182302E-002, +1.06670749482E-003
+6.99500000000E+004, +5.45482796450E-002, +1.09025307687E-003
+7.19450000000E+004, +5.45757951502E-002, +1.10991928533E-003
+7.39400000000E+004, +5.45590907053E-002, +1.05879946300E-003
+7.59350000000E+004, +5.45466939425E-002, +1.13500197268E-003
+7.79300000000E+004, +5.45636934829E-002, +1.12374596340E-003
+7.99250000000E+004, +5.45866354923E-002, +1.11189317747E-003
+8.19200000000E+004, +5.46004327848E-002, +1.08943904716E-003
+8.39150000000E+004, +5.45866135728E-002, +1.12198778635E-003
+8.59100000000E+004, +5.45862296952E-002, +1.13158949510E-003
+8.79050000000E+004, +5.45899770933E-002, +1.13800059656E-003
+8.99000000000E+004, +5.46113432988E-002, +1.12292555671E-003
+9.18950000000E+004, +5.45820302692E-002, +1.17671415150E-003
+9.38900000000E+004, +5.46089126278E-002, +1.15005456023E-003
+9.58850000000E+004, +5.46355745773E-002, +1.13633206808E-003
+9.78800000000E+004, +5.45929231194E-002, +1.15983430146E-003
+9.98750000000E+004, +5.45884258151E-002, +1.22462153839E-003
+1.01870000000E+005, +5.46212815503E-002, +1.19395100005E-003
+1.03865000000E+005, +5.46419494866E-002, +1.16844029452E-003
+1.05860000000E+005, +5.46089616612E-002, +1.18656181460E-003
+1.07855000000E+005, +5.46500029575E-002, +1.20638493315E-003
+1.09850000000E+005, +5.46091943383E-002, +1.20742550455E-003
+1.11845000000E+005, +5.46336071408E-002, +1.23344878796E-003
+1.13840000000E+005, +5.46367425149E-002, +1.22357484142E-003
+1.15835000000E+005, +5.46585867995E-002, +1.27085238102E-003
+1.17830000000E+005, +5.46456781077E-002, +1.22420174525E-003
+1.19825000000E+005, +5.46604588031E-002, +1.28034099434E-003
+1.21820000000E+005, +5.46467796018E-002, +1.29220808986E-003
+1.23815000000E+005, +5.46529277428E-002, +1.31570041422E-003
+1.25810000000E+005, +5.46362746310E-002, +1.27591702666E-003
+1.27805000000E+005, +5.46592885530E-002, +1.32066975667E-003
+1.29800000000E+005, +5.46393702558E-002, +1.31464739607E-003
+1.31795000000E+005, +5.46417966052E-002, +1.31207066407E-003
+1.33790000000E+005, +5.46418539549E-002, +1.35866586690E-003
+1.35785000000E+005, +5.46370291415E-002, +1.36196896121E-003
+1.37780000000E+005, +5.46524638261E-002, +1.35057562220E-003
+1.39775000000E+005, +5.46505042016E-002, +1.38718431187E-003
+1.41770000000E+005, +5.46519024296E-002, +1.39706335029E-003
+1.43765000000E+005, +5.46730507020E-002, +1.41973622297E-003
+1.45760000000E+005, +5.46614716376E-002, +1.43894552412E-003
+1.47755000000E+005, +5.46056257709E-002, +1.43687656105E-003
+1.49750000000E+005, +5.46471814174E-002, +1.41878981772E-003
+1.51745000000E+005, +5.46554421924E-002, +1.43483143919E-003
+1.53740000000E+005, +5.46277364271E-002, +1.43872610910E-003
+1.55735000000E+005, +5.46309127851E-002, +1.48725728899E-003
+1.57730000000E+005, +5.46535454424E-002, +1.50152682500E-003
+1.59725000000E+005, +5.46784520722E-002, +1.52285300668E-003
+1.61720000000E+005, +5.46453375564E-002, +1.51518915446E-003
+1.63715000000E+005, +5.46624681836E-002, +1.53277085665E-003
+1.65710000000E+005, +5.46443076732E-002, +1.55057946973E-003
+1.67705000000E+005, +5.46348457383E-002, +1.51416250133E-003
+1.69700000000E+005, +5.46270581320E-002, +1.55869168123E-003
+1.71695000000E+005, +5.46558742806E-002, +1.56103086622E-003
+1.73690000000E+005, +5.46665281107E-002, +1.59581627497E-003
+1.75685000000E+005, +5.46512093764E-002, +1.60614649523E-003
+1.77680000000E+005, +5.46546788737E-002, +1.63118244835E-003
+1.79675000000E+005, +5.46320861739E-002, +1.66387916416E-003
+1.81670000000E+005, +5.46742819428E-002, +1.64333213666E-003
+1.83665000000E+005, +5.46299990450E-002, +1.66908342043E-003
+1.85660000000E+005, +5.46435618182E-002, +1.68162401829E-003
+1.87655000000E+005, +5.46357082331E-002, +1.68423453729E-003
+1.89650000000E+005, +5.46142089534E-002, +1.71998381526E-003
+1.91645000000E+005, +5.46440326822E-002, +1.70411607329E-003
+1.93640000000E+005, +5.46272072620E-002, +1.72320113861E-003
+1.95635000000E+005, +5.46343645457E-002, +1.74492215617E-003
+1.97630000000E+005, +5.46162039720E-002, +1.76390610218E-003
+1.99625000000E+005, +5.46162049189E-002, +1.78671845435E-003
+2.01620000000E+005, +5.46262647054E-002, +1.78477168942E-003
+2.03615000000E+005, +5.46238147486E-002, +1.79279036365E-003
+2.05610000000E+005, +5.46251011947E-002, +1.80879646187E-003
+2.07605000000E+005, +5.46367136688E-002, +1.81976025428E-003
+2.09600000000E+005, +5.46348415677E-002, +1.84442418235E-003
+2.11595000000E+005, +5.46085387177E-002, +1.87365425100E-003
+2.13590000000E+005, +5.46148516506E-002, +1.88177620854E-003
+2.15585000000E+005, +5.46245545714E-002, +1.88629638609E-003
+2.17580000000E+005, +5.46108563569E-002, +1.88522452916E-003
+2.19575000000E+005, +5.46206817211E-002, +1.92621492663E-003
+2.21570000000E+005, +5.46151906438E-002, +1.94174338284E-003
+2.23565000000E+005, +5.46262685729E-002, +1.94110729573E-003
+2.25560000000E+005, +5.46221323268E-002, +1.95597730907E-003
+2.27555000000E+005, +5.46060336108E-002, +2.00018679689E-003
+2.29550000000E+005, +5.46220789646E-002, +1.97008278115E-003
+2.31545000000E+005, +5.46292996400E-002, +1.99410418099E-003
+2.33540000000E+005, +5.46115753130E-002, +2.03195934351E-003
+2.35535000000E+005, +5.46093736931E-002, +2.02250436325E-003
+2.37530000000E+005, +5.46145331283E-002, +2.04838519134E-003
+2.39525000000E+005, +5.45897742473E-002, +2.05092739607E-003
+2.41520000000E+005, +5.46000765325E-002, +2.07938015257E-003
+2.43515000000E+005, +5.46145773293E-002, +2.08953451514E-003
