"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, -7.49712579144E+003, +0.00000000000E+000
+5.19950000000E+004, -2.08681605105E+004, +0.00000000000E+000
+5.39900000000E+004, -2.88950284915E+004, +0.00000000000E+000
+5.59850000000E+004, -3.79431999234E+004, +0.00000000000E+000
+5.79800000000E+004, -4.94701993834E+004, +0.00000000000E+000
+5.99750000000E+004, -4.87068301110E+004, +0.00000000000E+000
+6.19700000000E+004, -5.21227886492E+004, +0.00000000000E+000
+6.39650000000E+004, -6.24000610225E+004, +0.00000000000E+000
+6.59600000000E+004, -6.82470168123E+004, +0.00000000000E+000
+6.79550000000E+004, -3.85622806426E+004, +0.00000000000E+000
+6.99500000000E+004, -4.57206680878E+004, +0.00000000000E+000
+7.19450000000E+004, -4.77579391784E+004, +0.00000000000E+000
+7.39400000000E+004, -4.88155574252E+004, +0.00000000000E+000
+7.59350000000E+004, -5.99417466819E+004, +0.00000000000E+000
+7.79300000000E+004, -5.16470478566E+004, +0.00000000000E+000
+7.99250000000E+004, -6.62848257936E+004, +0.00000000000E+000
+8.19200000000E+004, -7.84443226610E+004, +0.00000000000E+000
+8.39150000000E+004, -5.74789609336E+004, +0.00000000000E+000
+8.59100000000E+004, -5.92201179351E+004, +0.00000000000E+000
+8.79050000000E+004, -6.24453158796E+004, +0.00000000000E+000
+8.99000000000E+004, -5.08681068080E+004, +0.00000000000E+000
+9.18950000000E+004, -6.10073319518E+004, +0.00000000000E+000
+9.38900000000E+004, -5.88434820555E+004, +0.00000000000E+000
+9.58850000000E+004, -5.17213917507E+004, +0.00000000000E+000
+9.78800000000E+004, -5.86931782072E+004, +0.00000000000E+000
+9.98750000000E+004, -4.58978784681E+004, +0.00000000000E+000
+1.01870000000E+005, -5.32796444827E+004, +0.00000000000E+000
+1.03865000000E+005, -5.39944333540E+004, +0.00000000000E+000
+1.05860000000E+005, -4.65719501235E+004, +0.00000000000E+000
+1.07855000000E+005, -5.05649828484E+004, +0.00000000000E+000
+1.09850000000E+005, -5.76345024504E+004, +0.00000000000E+000
+1.11845000000E+005, -5.55963729647E+004, +0.00000000000E+000
+1.13840000000E+005, -4.30683370172E+004, +0.00000000000E+000
+1.15835000000E+005, -5.25419850896E+004, +0.00000000000E+000
+1.17830000000E+005, -5.21057235908E+004, +0.00000000000E+000
+1.19825000000E+005, -4.32280382613E+004, +0.00000000000E+000
+1.21820000000E+005, -4.96238573899E+004, +0.00000000000E+000
+1.23815000000E+005, -5.59231991615E+004, +0.00000000000E+000
+1.25810000000E+005, -4.82612198815E+004, +0.00000000000E+000
+1.27805000000E+005, -5.15607984233E+004, +0.00000000000E+000
+1.29800000000E+005, -4.33197062796E+004, +0.00000000000E+000
+1.31795000000E+005, -4.78999323668E+004, +0.00000000000E+000
+1.33790000000E+005, -4.27060079040E+004, +0.00000000000E+000
+1.35785000000E+005, -3.63826090250E+004, +0.00000000000E+000
