FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
6700000.0,25.003649,1.77012713,44.25963744389737,0.003287594,0.0014579,-1.749088e-07,0.75,0.036,127.0,2.56
6710000.0,25.003821,1.74998996,43.75643571163716,0.003354972,0.001419921,1.826751e-07,0.73,0.039,127.0,2.53
6720000.0,25.004077,1.73026045,43.26356552185465,0.00336626,0.001423537,1.789604e-08,0.73,0.039,123.0,2.5
6730000.0,25.004428,1.71169376,42.79992337996928,0.003308041,0.00146438,1.823373e-07,0.75,0.034,125.0,2.5
6740000.0,25.004348,1.69279556,42.32724927509488,0.003379256,0.001438001,-1.259481e-07,0.75,0.039,123.0,2.5
6750000.0,25.00465,1.67418737,41.8624692212705,0.003307275,0.001437249,-7.529858e-08,0.78,0.038,125.0,2.47
6760000.0,25.005073,1.65596237,41.40745994710301,0.003343145,0.001469037,-4.929845e-08,0.77,0.038,123.0,2.44
6770000.0,25.004839,1.63828197,40.96497689645283,0.003345162,0.001541118,1.090646e-07,0.78,0.036,122.0,2.44
6780000.0,25.004291,1.62092511,40.530083139647004,0.003374763,0.001459198,2.228562e-08,0.77,0.034,122.0,2.44
6790000.0,25.00515,1.60385191,40.1045575873365,0.003435656,0.001450458,6.719466e-08,0.77,0.039,122.0,2.41
6800000.0,25.004087,1.58713617,39.68489087552678,0.003334436,0.001483423,-2.069864e-07,0.78,0.034,120.0,2.44
6810000.0,25.003385,1.57073424,39.2736729354024,0.003390087,0.001462208,-6.75323e-08,0.77,0.036,119.0,2.41
6820000.0,25.002279,1.55470672,38.871211176614885,0.003384614,0.001514155,3.038972e-09,0.75,0.039,117.0,2.41
6830000.0,25.001452,1.53893081,38.47550477753612,0.003366136,0.001480823,6.550628e-08,0.75,0.036,117.0,2.38
6840000.0,25.001295,1.52382565,38.09761460421675,0.003566856,0.001413236,2.01584e-07,0.75,0.034,119.0,2.38
6850000.0,25.001162,1.50884471,37.72287102755302,0.003450832,0.001453114,-3.815575e-08,0.75,0.036,117.0,2.38
6860000.0,25.001384,1.49426143,37.35860380781912,0.003261853,0.001459058,6.516882e-08,0.73,0.039,117.0,2.34
6870000.0,25.001489,1.47987736,36.99913753738904,0.00335874,0.001415053,-1.137919e-07,0.73,0.041,117.0,2.31
6880000.0,25.001029,1.46579088,36.64628029881552,0.003293357,0.001445038,5.740249e-08,0.72,0.039,114.0,2.31
6890000.0,25.000175,1.45184168,36.296296072294,0.003393319,0.001481463,7.529856e-08,0.73,0.039,114.0,2.31
6900000.0,24.999281,1.43843224,35.95977176721944,0.00337888,0.001414528,1.374281e-07,0.7,0.038,114.0,2.31
