DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
0.3,24.917015,1.67478215,41.73057195328225,48.2344,0.7816676,37.71188,0.67,0.044,0.5,0.025
0.31,24.906787,1.67615567,41.747652251532294,48.29538,0.7823308,37.77307,0.63,0.042,0.45,0.025
0.32,24.917849,1.67717911,41.79169580893439,48.30986,0.7827544,37.80378,0.61,0.042,0.45,0.025
0.33,24.905947,1.68145838,41.878313294985865,48.33984,0.7838515,37.89432,0.59,0.042,0.47,0.027
0.34,24.908012,1.68674574,42.013483132868885,48.44624,0.7848523,38.02085,0.64,0.042,0.48,0.027
0.35000000000000003,24.914605,1.68721759,42.03635980390195,48.44572,0.7856301,38.06728,0.59,0.042,0.45,0.025
0.36000000000000004,24.920455,1.68685225,42.03712558777375,48.44574,0.785651,38.05899,0.63,0.039,0.47,0.022
0.37000000000000005,24.909801,1.68601392,41.99827123042992,48.44618,0.7846017,38.00483,0.58,0.045,0.47,0.023
0.38000000000000006,24.911347,1.68471816,41.96859868096152,48.41188,0.7845111,37.98299,0.59,0.041,0.47,0.023
0.39000000000000007,24.930978,1.68481464,42.00407672391792,48.44534,0.7846147,38.02249,0.61,0.041,0.48,0.028
0.4000000000000001,24.915964,1.68762447,42.04879054003908,48.51793,0.7858393,38.08148,0.63,0.042,0.45,0.022
