VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,18.008897,1.13983655,20.527199025785354,33.73373,0.5465868,18.43522,0.63,0.025,9.9e+37,0.02
18.5,18.509385,1.17238058,21.700043521743304,34.68705,0.5619416,19.48822,0.63,0.027,0.22,0.019
19.0,19.010862,1.20398072,22.888711318580636,35.61517,0.5773172,20.56292,0.66,0.025,0.23,0.023
19.5,19.511073,1.23604966,24.11665514788518,36.5737,0.5928435,21.685,0.66,0.027,0.23,0.017
20.0,20.011559,1.26899356,25.394539496560036,37.5574,0.6083446,22.85022,0.7,0.025,0.22,0.019
20.5,20.513538,1.29940514,26.65539671678532,38.44932,0.6237038,23.9745,0.73,0.025,0.22,0.02
21.0,21.014074,1.33274386,28.006378097085637,39.44109,0.6390327,25.20794,0.72,0.025,0.23,0.019
21.5,21.515816,1.36496739,29.36838720924024,40.39753,0.6544582,26.43768,0.78,0.03,0.27,0.022
22.0,22.015885,1.39611334,30.736670740405902,41.32135,0.6696645,27.66589,0.78,0.023,0.28,0.023
22.5,22.517061,1.42832268,32.16162891324348,42.27692,0.6850621,28.96014,0.8,0.031,0.3,0.027
23.0,23.017447,1.45988258,33.60276991137326,43.19849,0.7002668,30.24762,0.83,0.031,0.3,0.025
23.5,23.518452,1.49268435,35.1056252366262,44.156,0.715599,31.59603,0.81,0.031,0.33,0.023
24.0,24.018806,1.52548508,36.64033019241448,45.11298,0.7309489,32.98093,0.8,0.031,0.34,0.025
24.5,24.519576,1.55839677,38.21122804016952,46.0708,0.7464194,34.39461,0.84,0.031,0.34,0.027
25.0,25.020949,1.5910982,39.8107869161918,47.02703,0.762004,35.8341,0.86,0.03,0.34,0.028
25.5,25.522435,1.62130845,41.37973953007575,47.91372,0.7771003,37.23342,0.84,0.03,0.33,0.03
26.0,26.023401,1.65355709,43.03117922946309,48.87237,0.7921194,38.70732,0.91,0.031,0.38,0.031
26.5,26.523675,1.68573572,44.711906373171004,49.82665,0.8072641,40.22673,0.91,0.031,0.33,0.031
27.0,27.025285,1.71823352,46.435750574553204,50.78873,0.8229373,41.80418,0.92,0.03,0.31,0.031
27.5,27.525762,1.75033399,48.17927682925038,51.74174,0.8382339,43.35856,0.95,0.031,0.33,0.03
28.0,28.027005,1.78082301,49.911135405385046,52.62971,0.8530659,44.89399,0.97,0.03,0.31,0.031
