DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
0.3,25.019991,1.58226713,39.58830935219583,47.20552,0.7648497,36.09492,0.91,0.022,0.39,0.025
0.31,25.021403,1.58763461,39.72484539355783,47.31638,0.766521,36.26739,0.83,0.02,0.38,0.025
0.32,25.02212,1.59278383,39.854828128319596,47.38439,0.7677051,36.3746,0.84,0.023,0.36,0.027
0.33,25.019271,1.59919488,40.01069008453248,47.48899,0.7693492,36.53304,0.83,0.025,0.34,0.027
0.34,25.01871,1.60214472,40.0835941277112,47.52618,0.7700834,36.5995,0.81,0.025,0.34,0.025
0.35000000000000003,25.018957,1.60056077,40.04436108051689,47.48917,0.7699474,36.57005,0.81,0.027,0.34,0.028
0.36000000000000004,25.022068,1.59819809,39.99022128545012,47.48655,0.7692695,36.53301,0.84,0.023,0.36,0.025
0.37000000000000005,25.024207,1.59357109,39.87785282537563,47.42152,0.7683294,36.43483,0.84,0.022,0.36,0.027
0.38000000000000006,25.024637,1.58934674,39.77282523563338,47.34747,0.7676821,36.34785,0.88,0.02,0.41,0.025
0.39000000000000007,25.023049,1.58790207,39.73415130481143,47.34732,0.7673413,36.32783,0.84,0.022,0.36,0.023
0.4000000000000001,25.024383,1.58949705,39.77618295657015,47.34743,0.7674853,36.33236,0.86,0.023,0.38,0.027
