FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
6000000.0,19.436393,0.779319709,15.147164136769637,28.7858,0.4661862,13.41825,1.13,9.9e+37,9.9e+37,0.036
6100000.0,21.603724,1.00870324,21.79174639486576,36.11585,0.5845696,21.12557,1.22,9.9e+37,0.91,0.031
6200000.0,23.055712,1.23281994,28.423541484497278,42.9716,0.6961406,29.92857,1.23,0.059,0.89,0.036
6300000.0,23.476491,1.69846258,39.87394147320678,45.8428,0.7427355,34.05539,0.86,0.05,0.78,0.03
6400000.0,24.606066,1.86905914,45.99019255674324,50.23824,0.8140614,40.8997,0.75,0.053,0.66,0.027
6500000.0,24.805003,1.90544472,47.26456199593416,51.51115,0.8346587,42.99461,0.73,0.052,0.72,0.023
6600000.0,24.881651,1.86394183,46.37795009836133,51.24733,0.8305554,42.56629,0.52,0.039,0.56,0.022
6700000.0,24.92718,1.75910422,43.8495075306996,49.8642,0.8071288,40.24857,0.47,0.036,0.44,0.022
6780000.0,24.940804,1.68210405,41.9530274186562,48.73044,0.7890189,38.45544,0.47,0.038,0.41,0.019
6800000.0,24.944284,1.66052308,41.42055929607472,48.40788,0.7841625,37.95423,0.41,0.034,0.42,0.02
6900000.0,24.949079,1.55623923,38.82673549216917,46.73853,0.7572042,35.38585,0.41,0.038,0.5,0.017
7000000.0,24.950988,1.48475238,37.04603881635144,45.55568,0.7381746,33.62096,0.48,0.038,0.63,0.022
7100000.0,24.961729,1.4040401,35.0472684813329,44.15622,0.7146065,31.55126,0.48,0.041,0.59,0.019
7200000.0,24.938105,1.29793048,32.3679265929404,42.13769,0.6828024,28.76158,0.48,0.042,0.47,0.027
7300000.0,24.859859,1.15993247,28.83575765372173,39.36758,0.6377108,25.10284,0.52,0.038,0.47,0.022
7400000.0,24.824907,0.971458951,24.11637811289256,35.40973,0.5738695,20.32089,0.48,0.038,0.39,0.02
7500000.0,24.883677,0.785912134,19.556383692836718,31.03877,0.5026507,15.60305,0.48,0.038,0.52,0.027
