ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
50.0,25.037222,1.17136598,29.32775008450756,36.21765,0.724256,26.23536,0.53,0.028,0.422,0.034
50.5,25.03495,1.18207838,29.593273139381,36.58056,0.724169,26.49764,0.58,0.03,0.453,0.038
51.0,25.03275,1.19141296,29.82434277444,36.93914,0.7239611,26.74089,0.45,0.03,9.9e+37,0.042
51.5,25.029018,1.2018406,30.080890010530798,37.27042,0.7234792,26.95677,0.5,0.028,0.45,0.036
52.0,25.028747,1.21195587,30.33373684539489,37.6317,0.7233563,27.22169,0.55,0.031,0.447,0.041
52.5,25.028058,1.22199251,30.584099415845582,37.96829,0.7230774,27.45174,0.61,0.028,0.438,0.042
53.0,25.022643,1.23168363,30.819979762434087,38.30239,0.7227873,27.68252,0.67,0.028,0.434,0.041
53.5,25.025164,1.24289321,31.103606414736443,38.66179,0.7227873,27.94099,0.63,0.03,0.416,0.047
54.0,25.026217,1.25408098,31.384902741052656,39.02489,0.7226767,28.19838,0.67,0.028,0.425,0.036
54.5,25.047346,1.26488879,31.682107174651343,39.44566,0.7234138,28.53808,0.59,0.028,0.438,0.034
55.0,25.033075,1.27589714,31.939628797905502,39.77683,0.7229944,28.75927,0.67,0.025,0.434,0.038
55.5,25.034494,1.28546717,32.18102015456198,40.10663,0.7227836,28.98808,0.66,0.027,0.438,0.034
56.0,25.03747,1.29826189,32.5051931230183,40.53289,0.7232677,29.32203,0.64,0.027,0.434,0.031
56.5,25.036878,1.30874665,32.766930208958705,40.88415,0.723243,29.57258,0.63,0.025,0.456,0.039
57.0,25.036613,1.31958556,33.03795298610828,41.24818,0.723526,29.84564,0.58,0.023,0.459,0.033
57.5,25.037473,1.33024813,33.30605163817549,41.6076,0.7232888,30.10008,0.56,0.025,0.447,0.034
58.0,25.03749,1.34091918,33.5732505600582,41.97618,0.72343,30.3661,0.53,0.023,0.441,0.033
58.5,25.037376,1.35175127,33.844304805467516,42.33231,0.7233247,30.62099,0.52,0.022,0.431,0.033
59.0,25.037651,1.36238652,34.110958214864525,42.69635,0.7234092,30.8839,0.53,0.022,0.425,0.034
59.5,25.038331,1.37321138,34.382921065406784,43.06133,0.723663,31.15771,0.5,0.02,0.425,0.033
60.0,25.038052,1.383554,34.641496996808,43.42059,0.7233724,31.41677,0.48,0.022,0.441,0.031
60.5,25.037751,1.39404463,34.90374232882713,43.77122,0.72324,31.64377,0.47,0.023,0.434,0.031
61.0,25.037519,1.40378216,35.14722250286104,44.1172,0.7229176,31.89175,0.5,0.025,0.447,0.031
61.5,25.037272,1.41336632,35.38683698947904,44.44045,0.7229165,32.13266,0.47,0.02,0.456,0.033
61.68502750680849,25.037088,1.41831495,35.510476214865605,44.59853,0.7226749,32.25288,0.48,0.022,0.453,0.034
62.0,25.036889,1.42371672,35.64543748608408,44.7978,0.7228755,32.37804,0.47,0.022,0.453,0.033
62.5,25.036696,1.43420055,35.907643173382795,45.16045,0.7227436,32.63971,0.5,0.02,0.459,0.034
63.0,25.036396,1.44555702,36.191537993299924,45.55508,0.7227038,32.91728,0.48,0.02,0.472,0.033
63.5,25.036373,1.45496656,36.42708549868688,45.88319,0.7224501,33.15189,0.48,0.023,0.463,0.028
64.0,25.036682,1.46536948,36.68798968326536,46.24731,0.7225302,33.41488,0.48,0.02,0.488,0.03
64.5,25.037241,1.47562311,36.94553143023951,46.60603,0.7225335,33.67357,0.44,0.022,0.484,0.027
65.0,25.037193,1.4859763,37.204675416525895,46.97032,0.722129,33.91902,0.47,0.025,0.475,0.03
65.5,25.037335,1.49512578,37.4339650209963,47.29358,0.7219537,34.15356,0.45,0.02,0.475,0.028
66.0,25.038049,1.50527809,37.68922657604641,47.65638,0.721837,34.39063,0.45,0.02,0.466,0.028
66.5,25.040425,1.51554066,37.9497822311805,48.01021,0.7216485,34.64297,0.45,0.019,0.466,0.025
67.0,25.040978,1.5250243,38.1880999457654,48.3442,0.7214903,34.87967,0.42,0.022,0.469,0.028
67.5,25.041525,1.53503297,38.43956649407925,48.70118,0.7212785,35.12662,0.48,0.02,0.459,0.027
68.0,25.04174,1.54501711,38.6899167641714,49.06007,0.721189,35.37779,0.45,0.023,0.475,0.028
68.5,25.042069,1.55415038,38.91914105233622,49.39991,0.7210032,35.62315,0.45,0.022,0.447,0.028
69.0,25.042251,1.56309037,39.14330138122287,49.70523,0.7206608,35.8203,0.48,0.022,0.438,0.03
69.5,25.042654,1.57306849,39.39380991337246,50.06267,0.7203908,36.06385,0.45,0.023,0.431,0.03
70.0,25.041727,1.58304744,39.64224182052889,50.422,0.7201706,36.31272,0.48,0.027,0.444,0.028
70.5,25.042205,1.59188684,39.864356584082195,50.74922,0.7197593,36.51853,0.52,0.022,0.438,0.031
71.0,25.042735,1.60191204,40.1162587110294,51.10268,0.7193879,36.73927,0.52,0.02,0.444,0.03
71.5,25.043117,1.61134323,40.35305703604791,51.43154,0.7192101,36.98882,0.53,0.022,0.438,0.028
72.0,25.0437,1.62020839,40.576012856643,51.78209,0.7189429,37.21557,0.5,0.022,0.428,0.028
72.5,25.043709,1.62913855,40.79967176688195,52.12973,0.7187052,37.46353,0.48,0.022,9.9e+37,0.027
73.0,25.043786,1.63763261,41.01252063146146,52.4095,0.7181515,37.644,0.5,0.022,0.428,0.028
73.5,25.044344,1.64735175,41.256843916002,52.76945,0.718116,37.90044,0.5,0.022,0.438,0.03
74.0,25.04506,1.65707666,41.5015843742996,53.12775,0.7177346,38.13958,0.47,0.019,0.431,0.03
74.5,25.04567,1.66577657,41.7204902659519,53.44882,0.7171289,38.33975,0.48,0.02,0.431,0.027
