Time (s),V_TANK_IN,I_PRI,V_TANK_OUT
0.0,-34.37499289600001,-0.7187500287999999,21.874998272
5e-10,-35.937492992,-0.7187500287999999,21.874998272
1e-09,-32.8124928,-0.7187500287999999,23.437498368
1.5000000000000002e-09,-35.937492992,-0.687500032,23.437498368
2e-09,-34.37499289600001,-0.687500032,23.437498368
2.5e-09,-35.937492992,-0.7187500287999999,23.437498368
3.0000000000000004e-09,-34.37499289600001,-0.7187500287999999,21.874998272
3.5000000000000003e-09,-34.37499289600001,-0.7187500287999999,24.999998464
4e-09,-34.37499289600001,-0.687500032,23.437498368
4.500000000000001e-09,-34.37499289600001,-0.7187500287999999,21.874998272
5e-09,-34.37499289600001,-0.687500032,21.874998272
5.5000000000000004e-09,-35.937492992,-0.687500032,23.437498368
6.000000000000001e-09,-34.37499289600001,-0.7187500287999999,21.874998272
6.5e-09,-35.937492992,-0.687500032,23.437498368
7.000000000000001e-09,-34.37499289600001,-0.687500032,20.312498176000002
7.500000000000001e-09,-34.37499289600001,-0.687500032,23.437498368
8e-09,-34.37499289600001,-0.687500032,21.874998272
8.5e-09,-35.937492992,-0.687500032,23.437498368
9.000000000000001e-09,-34.37499289600001,-0.687500032,21.874998272
9.5e-09,-35.937492992,-0.687500032,20.312498176000002
1e-08,-35.937492992,-0.6562500352,21.874998272
1.0500000000000001e-08,-35.937492992,-0.687500032,20.312498176000002
1.1000000000000001e-08,-34.37499289600001,-0.687500032,20.312498176000002
1.15e-08,-35.937492992,-0.6562500352,21.874998272
1.2000000000000002e-08,-35.937492992,-0.6562500352,21.874998272
1.2500000000000001e-08,-34.37499289600001,-0.6562500352,18.74999808
1.3e-08,-34.37499289600001,-0.6250000384000001,20.312498176000002
1.35e-08,-37.499993088,-0.6250000384000001,18.74999808
1.4000000000000001e-08,-37.499993088,-0.6562500352,18.74999808
1.45e-08,-35.937492992,-0.6562500352,17.187497984000004
1.5000000000000002e-08,-37.499993088,-0.6562500352,15.624997888000003
1.55e-08,-37.499993088,-0.6250000384000001,17.187497984000004
1.6e-08,-37.499993088,-0.5937500416,15.624997888000003
1.6500000000000002e-08,-39.062493184000004,-0.6250000384000001,14.062497792000002
1.7e-08,-35.937492992,-0.5937500416,12.499997696000001
1.75e-08,-39.062493184000004,-0.5625000448,10.9374976
1.8000000000000002e-08,-37.499993088,-0.5625000448,10.9374976
1.85e-08,-37.499993088,-0.5937500416,9.374997504
1.9e-08,-39.062493184000004,-0.5625000448,7.812497407999999
1.9500000000000003e-08,-40.62499328,-0.5625000448,7.812497407999999
2e-08,-39.062493184000004,-0.5625000448,4.687497216000004
2.05e-08,-39.062493184000004,-0.5625000448,1.5624970240000025
2.1000000000000003e-08,-40.62499328,-0.531250048,1.5624970240000025
2.15e-08,-39.062493184000004,-0.5625000448,1.5624970240000025
2.2000000000000002e-08,-40.62499328,-0.5625000448,-1.5625031679999992
2.2500000000000003e-08,-40.62499328,-0.531250048,-3.125003264
2.3e-08,-40.62499328,-0.531250048,-7.8125035519999955
2.3500000000000002e-08,-40.62499328,-0.531250048,-6.250003456000002
2.4000000000000003e-08,-40.62499328,-0.5000000512,-9.375003647999996
2.45e-08,-40.62499328,-0.5000000512,-9.375003647999996
2.5000000000000002e-08,-39.062493184000004,-0.46875005440000006,-12.500003839999998
2.55e-08,-42.187493376000006,-0.4375000576,-14.062503935999999
2.6e-08,-40.62499328,-0.5000000512,-15.625004031999993
2.6500000000000002e-08,-42.187493376000006,-0.46875005440000006,-15.625004031999993
2.7e-08,-42.187493376000006,-0.4375000576,-17.187504128
2.75e-08,-40.62499328,-0.46875005440000006,-17.187504128
2.8000000000000003e-08,-40.62499328,-0.40625006080000003,-18.750004223999994
2.85e-08,-42.187493376000006,-0.40625006080000003,-20.312504320000002
2.9e-08,-42.187493376000006,-0.40625006080000003,-21.875004415999996
2.9500000000000003e-08,-40.62499328,-0.4375000576,-21.875004415999996
3.0000000000000004e-08,-40.62499328,-0.40625006080000003,-23.437504512000004
3.05e-08,-42.187493376000006,-0.40625006080000003,-23.437504512000004
3.1e-08,-42.187493376000006,-0.40625006080000003,-25.000004607999998
3.1500000000000004e-08,-42.187493376000006,-0.37500006399999997,-26.56250470399999
3.2e-08,-42.187493376000006,-0.37500006399999997,-28.1250048
3.25e-08,-40.62499328,-0.37500006399999997,-26.56250470399999
3.3000000000000004e-08,-40.62499328,-0.3437500672,-28.1250048
3.35e-08,-42.187493376000006,-0.31250007040000005,-26.56250470399999
3.4e-08,-42.187493376000006,-0.3437500672,-26.56250470399999
3.4500000000000005e-08,-40.62499328,-0.3437500672,-26.56250470399999
3.5e-08,-39.062493184000004,-0.31250007040000005,-28.1250048
3.55e-08,-39.062493184000004,-0.31250007040000005,-26.56250470399999
3.6000000000000005e-08,-39.062493184000004,-0.2812500736,-28.1250048
3.65e-08,-37.499993088,-0.2812500736,-29.687504895999993
3.7e-08,-37.499993088,-0.2812500736,-28.1250048
3.7500000000000005e-08,-35.937492992,-0.2812500736,-28.1250048
3.8e-08,-34.37499289600001,-0.2500000768,-28.1250048
3.85e-08,-34.37499289600001,-0.2500000768,-28.1250048
3.9000000000000005e-08,-34.37499289600001,-0.21875008000000007,-29.687504895999993
3.95e-08,-32.8124928,-0.1875000832,-28.1250048
4e-08,-29.687492608,-0.1875000832,-28.1250048
