VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,17.776647,1.02974274,18.305373189792782,31.78337,0.5143377,16.34843,0.38,0.019,0.209,0.028
18.5,18.281066,1.05853944,19.35122936624304,32.67067,0.5294185,17.29511,0.38,0.019,0.216,0.03
19.0,18.762787,1.0892852,20.438026189852398,33.59152,0.5443465,18.28353,0.36,0.02,0.222,0.028
19.5,19.245992,1.11748388,21.50708581460896,34.4422,0.5585907,19.23784,0.41,0.022,0.225,0.03
20.0,19.743653,1.14850781,22.675739668429927,35.39972,0.5735399,20.29716,0.39,0.022,0.216,0.031
20.5,20.23684,1.17811453,23.8413152452852,36.30589,0.5882258,21.36588,0.42,0.02,0.228,0.034
21.0,20.728212,1.20763444,25.03210269082128,37.20705,0.6029688,22.43132,0.39,0.022,0.25,0.033
21.5,21.221364,1.23724227,26.255968567856282,38.12918,0.6177806,23.55188,0.44,0.019,0.275,0.034
22.0,21.713034,1.26527236,27.47290177194024,38.98035,0.6314582,24.61521,0.45,0.022,0.291,0.036
22.5,22.204171,1.29431006,28.739081899260256,39.86629,0.6463045,25.7592,0.5,0.025,0.309,0.034
23.0,22.692281,1.323915,30.042651200115,40.75943,0.6605675,26.92402,0.47,0.027,0.325,0.033
23.5,23.180911,1.35298888,31.363514811269678,41.6396,0.6751392,28.11934,0.48,0.023,0.328,0.034
24.0,23.666962,1.38383658,32.75120775306996,42.56429,0.6896157,29.35498,0.56,0.027,0.344,0.039
24.5,24.153635,1.41345457,34.14006577286195,43.44624,0.7040209,30.58332,0.55,0.022,0.356,0.038
25.0,24.641075,1.4420477,35.5336055292775,44.29846,0.7188898,31.84185,0.58,0.025,0.344,0.041
25.5,25.127017,1.47318821,37.01682519686957,45.25469,0.7328821,33.16905,0.59,0.022,0.347,0.039
26.0,25.613375,1.50101827,38.446143831361255,46.10542,0.7473087,34.45426,0.58,0.023,0.375,0.042
26.5,26.102002,1.53054028,39.95016544964056,47.025,0.7617763,35.80833,0.59,0.025,0.375,0.042
27.0,26.589597,1.55814837,41.43053722450689,47.87696,0.7755846,37.12848,0.63,0.027,0.388,0.042
27.5,27.07536,1.58596267,42.9405102368112,48.72962,0.7898877,38.49114,0.59,0.023,0.388,0.045
28.0,27.56049,1.61485958,44.506321305994206,49.61526,0.8037621,39.88643,0.59,0.027,0.391,0.041
