coss	eff
1.000000000000000e-10	-9.529076e-01
1.100000000000000e-10	-9.532691e-01
1.200000000000000e-10	-9.534138e-01
1.300000000000000e-10	-9.536188e-01
1.400000000000000e-10	-9.537334e-01
1.500000000000000e-10	-9.537982e-01
1.600000000000000e-10	-9.536048e-01
1.700000000000000e-10	-9.535257e-01
1.800000000000000e-10	-9.533780e-01
1.900000000000000e-10	-9.528802e-01
2.000000000000000e-10	-9.520621e-01
2.100000000000000e-10	-9.511371e-01
2.200000000000000e-10	-9.507219e-01
2.300000000000000e-10	-9.502336e-01
2.400000000000000e-10	-9.498943e-01
2.500000000000000e-10	-9.494774e-01
2.600000000000000e-10	-9.489445e-01
2.700000000000000e-10	-9.484677e-01
2.800000000000000e-10	-9.482605e-01
2.900000000000000e-10	-9.478185e-01
3.000000000000000e-10	-9.470186e-01
