Frequency in Hz;Power in dBm
600000.0;-86.14
650253.8;-87.92
700507.6;-86.62
750761.4;-88.12
801015.2;-87.97
851269.0;-87.87
901522.8;-89.10
951776.6;-87.23
1002030.5;-89.61
1052284.3;-89.72
1102538.1;-89.72
1152791.9;-91.65
1203045.7;-90.59
1253299.5;-91.63
1303553.3;-92.10
1353807.1;-91.56
1404060.9;-91.31
1454314.7;-91.55
1504568.5;-92.61
1554822.3;-92.27
1605076.1;-92.62
1655329.9;-93.60
1705583.8;-93.69
1755837.6;-93.35
1806091.4;-95.06
1856345.2;-94.51
1906599.0;-94.83
1956852.8;-94.16
2007106.6;-93.83
2057360.4;-94.26
2107614.2;-95.29
2157868.0;-94.14
2208121.8;-93.78
2258375.6;-94.83
2308629.4;-95.68
2358883.2;-95.94
2409137.1;-96.02
2459390.9;-96.21
2509644.7;-95.12
2559898.5;-96.70
2610152.3;-95.10
2660406.1;-95.40
2710659.9;-96.59
2760913.7;-95.32
2811167.5;-96.05
2861421.3;-96.34
2911675.1;-96.77
2961928.9;-98.29
3012182.7;-97.12
3062436.5;-96.80
3112690.4;-98.08
3162944.2;-96.99
3213198.0;-96.98
3263451.8;-96.88
3313705.6;-97.94
3363959.4;-97.26
3414213.2;-97.06
3464467.0;-95.89
3514720.8;-98.18
3564974.6;-97.26
3615228.4;-98.46
3665482.2;-98.40
3715736.0;-97.82
3765989.8;-98.91
3816243.7;-98.91
3866497.5;-98.15
3916751.3;-99.38
3967005.1;-99.70
4017258.9;-97.93
4067512.7;-99.52
4117766.5;-98.67
4168020.3;-98.83
4218274.1;-98.05
4268527.9;-100.19
4318781.7;-99.04
4369035.5;-99.29
4419289.3;-99.02
4469543.1;-99.43
4519797.0;-100.02
4570050.8;-98.98
4620304.6;-99.74
4670558.4;-99.04
4720812.2;-99.16
4771066.0;-100.03
4821319.8;-99.64
4871573.6;-99.62
4921827.4;-100.06
4972081.2;-99.18
5022335.0;-98.91
5072588.8;-99.79
5122842.6;-100.18
5173096.4;-99.58
5223350.3;-99.50
5273604.1;-99.17
5323857.9;-99.42
5374111.7;-99.30
5424365.5;-98.75
5474619.3;-99.49
5524873.1;-100.53
5575126.9;-100.49
5625380.7;-99.66
5675634.5;-99.68
5725888.3;-99.90
5776142.1;-99.09
5826395.9;-99.66
5876649.7;-99.49
5926903.6;-99.92
5977157.4;-98.93
6027411.2;-99.73
6077665.0;-100.43
6127918.8;-99.54
6178172.6;-99.44
6228426.4;-97.90
6278680.2;-100.31
6328934.0;-100.67
6379187.8;-100.27
6429441.6;-100.69
6479695.4;-100.49
6529949.2;-100.45
6580203.0;-101.37
6630456.9;-99.96
6680710.7;-100.82
6730964.5;-100.25
6781218.3;-98.45
6831472.1;-99.51
6881725.9;-100.32
6931979.7;-101.19
6982233.5;-99.93
7032487.3;-101.03
7082741.1;-100.76
7132994.9;-99.50
7183248.7;-100.38
7233502.5;-100.82
7283756.3;-99.80
7334010.2;-101.11
7384264.0;-100.47
7434517.8;-101.57
7484771.6;-99.76
7535025.4;-101.64
7585279.2;-101.62
7635533.0;-101.09
7685786.8;-102.11
7736040.6;-101.12
7786294.4;-100.16
7836548.2;-101.37
7886802.0;-101.27
7937055.8;-101.56
7987309.6;-102.07
8037563.5;-102.36
8087817.3;-101.92
8138071.1;-101.66
8188324.9;-101.56
8238578.7;-101.02
8288832.5;-101.62
8339086.3;-101.99
8389340.1;-102.50
8439593.9;-102.50
8489847.7;-102.32
8540101.5;-102.33
8590355.3;-102.25
8640609.1;-101.80
8690862.9;-102.46
8741116.8;-102.69
8791370.6;-102.92
8841624.4;-103.91
8891878.2;-103.70
8942132.0;-102.51
8992385.8;-101.95
9042639.6;-101.92
9092893.4;-102.58
9143147.2;-102.80
9193401.0;-101.93
9243654.8;-103.35
9293908.6;-103.45
9344162.4;-102.68
9394416.2;-103.70
9444670.1;-102.80
9494923.9;-102.11
9545177.7;-102.77
9595431.5;-102.45
9645685.3;-103.44
9695939.1;-103.49
9746192.9;-102.72
9796446.7;-103.68
9846700.5;-103.87
9896954.3;-103.29
9947208.1;-103.63
9997461.9;-103.53
10047715.7;-102.68
10097969.5;-102.78
10148223.4;-102.94
10198477.2;-103.27
10248731.0;-103.70
10298984.8;-103.91
10349238.6;-104.28
10399492.4;-103.38
10449746.2;-102.21
10500000.0;-103.54
10550253.8;-102.22
10600507.6;-104.10
10650761.4;-104.33
10701015.2;-103.74
10751269.0;-103.55
10801522.8;-103.03
10851776.6;-103.45
10902030.5;-103.36
10952284.3;-103.20
11002538.1;-102.76
11052791.9;-103.70
11103045.7;-103.09
11153299.5;-103.59
11203553.3;-104.36
11253807.1;-103.08
11304060.9;-103.27
11354314.7;-103.96
11404568.5;-105.11
11454822.3;-104.74
11505076.1;-103.44
11555329.9;-103.49
11605583.8;-104.66
11655837.6;-104.20
11706091.4;-103.86
11756345.2;-104.27
11806599.0;-104.46
11856852.8;-105.32
11907106.6;-105.06
11957360.4;-104.27
12007614.2;-104.60
12057868.0;-105.20
12108121.8;-104.32
12158375.6;-103.54
12208629.4;-104.04
12258883.2;-105.60
12309137.1;-104.02
12359390.9;-103.83
12409644.7;-103.83
12459898.5;-103.45
12510152.3;-104.50
12560406.1;-104.94
12610659.9;-104.33
12660913.7;-104.82
12711167.5;-103.86
12761421.3;-104.34
12811675.1;-104.84
12861928.9;-104.40
12912182.7;-103.80
12962436.5;-104.24
13012690.4;-104.68
13062944.2;-103.82
13113198.0;-103.97
13163451.8;-104.61
13213705.6;-104.88
13263959.4;-104.68
13314213.2;-103.67
13364467.0;-103.68
13414720.8;-102.60
13464974.6;-95.54
13515228.4;-65.30
13565482.2;-63.69
13615736.0;-101.09
13665989.8;-104.18
13716243.7;-104.37
13766497.5;-104.12
13816751.3;-104.86
13867005.1;-104.71
13917258.9;-104.38
13967512.7;-104.70
14017766.5;-104.73
14068020.3;-104.73
14118274.1;-105.14
14168527.9;-105.15
14218781.7;-106.11
14269035.5;-105.71
14319289.3;-104.77
14369543.1;-105.19
14419797.0;-105.13
14470050.8;-105.65
14520304.6;-105.53
14570558.4;-105.03
14620812.2;-103.25
14671066.0;-101.60
14721319.8;-104.55
14771573.6;-106.08
14821827.4;-105.04
14872081.2;-104.50
14922335.0;-104.85
14972588.8;-104.96
15022842.6;-103.97
15073096.4;-104.13
15123350.3;-104.48
15173604.1;-104.90
15223857.9;-104.87
15274111.7;-105.75
15324365.5;-104.53
15374619.3;-104.53
15424873.1;-104.03
15475126.9;-104.14
15525380.7;-104.80
15575634.5;-104.22
15625888.3;-104.24
15676142.1;-105.27
15726395.9;-104.97
15776649.7;-105.58
15826903.6;-105.91
15877157.4;-105.06
15927411.2;-104.88
15977665.0;-105.05
16027918.8;-105.20
16078172.6;-105.44
16128426.4;-104.71
16178680.2;-104.67
16228934.0;-104.93
16279187.8;-105.61
16329441.6;-105.04
16379695.4;-105.00
16429949.2;-105.26
16480203.0;-104.63
16530456.9;-105.27
16580710.7;-105.11
16630964.5;-104.82
16681218.3;-105.90
16731472.1;-106.07
16781725.9;-104.94
16831979.7;-105.11
16882233.5;-104.89
16932487.3;-105.64
16982741.1;-105.73
17032994.9;-104.75
17083248.7;-104.83
17133502.5;-104.67
17183756.3;-104.57
17234010.2;-105.50
17284264.0;-104.92
17334517.8;-104.82
17384771.6;-105.00
17435025.4;-104.48
17485279.2;-104.87
17535533.0;-104.95
17585786.8;-105.24
17636040.6;-104.71
17686294.4;-105.66
17736548.2;-105.10
17786802.0;-104.50
17837055.8;-104.39
17887309.6;-104.52
17937563.5;-104.44
17987817.3;-104.33
18038071.1;-105.61
18088324.9;-105.64
18138578.7;-104.98
18188832.5;-104.30
18239086.3;-104.96
18289340.1;-105.12
18339593.9;-104.69
18389847.7;-105.10
18440101.5;-104.61
18490355.3;-104.58
18540609.1;-104.42
18590862.9;-105.07
18641116.8;-104.88
18691370.6;-105.31
18741624.4;-105.60
18791878.2;-105.61
18842132.0;-105.04
