Name,VDS_A,,,Name,VDS_B,,,Name,V_MR,,,Name,VOUT_RF,,,
Date,12/23/2025,,,Date,12/23/2025,,,Date,12/23/2025,,,Date,12/23/2025,,,
Time,11:01:32 PM,,,Time,11:04:07 PM,,,Time,11:13:04 PM,,,Time,11:15:56 PM,,,
Instrument,FPC1000 - 101228/002,,,Instrument,FPC1000 - 101228/002,,,Instrument,FPC1000 - 101228/002,,,Instrument,FPC1000 - 101228/002,,,
Firmware Version,V1.90,,,Firmware Version,V1.90,,,Firmware Version,V1.90,,,Firmware Version,V1.90,,,
Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,Channel,- - -,,,Channel,- - -,,,
Center Frequency,30000000,Hz,,Center Frequency,30000000,Hz,,Center Frequency,30000000,Hz,,Center Frequency,30000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,60000000,Hz,,Span,60000000,Hz,,Span,60000000,Hz,,Span,60000000,Hz,,
Ref Level,-67,dBm,,Ref Level,-67,dBm,,Ref Level,0.00009988,V,,Ref Level,39.99,dBµV,,
Ref Offset,0,dB,,Ref Offset,0,dB,,Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,0.30,,,Ref Position,0.30,,,Ref Position,0.30,,,Ref Position,0.30,,,
Range,150,dB,,Range,150,dB,,Range,150,dB,,Range,150,dB,,
RF Attenuation,Manual,,,RF Attenuation,Manual,,,RF Attenuation,Manual,,,RF Attenuation,Manual,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,10000,Hz,,RBW,10000,Hz,,RBW,10000,Hz,,RBW,10000,Hz,,
