fstest	eff	iin	iout	pinavg	poutavg	vds1max	vds2max	vin	vmrpp	vout	vsecpp
6.000000000000000e+06	9.215436e-01	1.957285e+00	8.549975e-01	-4.893212e+01	4.509308e+01	5.737225e+01	5.749931e+01	2.500000e+01	4.922072e+01	5.274052e+01	1.072696e+02
6.100000000000000e+06	9.531499e-01	2.146537e+00	9.106043e-01	-5.366343e+01	5.114929e+01	5.947086e+01	5.953051e+01	2.500000e+01	6.339871e+01	5.617062e+01	1.141527e+02
6.200000000000000e+06	9.710611e-01	2.213549e+00	9.333568e-01	-5.533871e+01	5.373727e+01	6.065846e+01	6.073597e+01	2.500000e+01	7.607219e+01	5.757412e+01	1.169703e+02
6.300000000000000e+06	9.796203e-01	2.179761e+00	9.302790e-01	-5.449403e+01	5.338346e+01	6.089973e+01	6.090935e+01	2.500000e+01	8.635187e+01	5.738426e+01	1.165865e+02
6.400000000000000e+06	9.820439e-01	2.081836e+00	9.102666e-01	-5.204591e+01	5.111137e+01	6.030093e+01	6.035900e+01	2.500000e+01	9.464055e+01	5.614980e+01	1.141023e+02
6.500000000000000e+06	9.818123e-01	1.951187e+00	8.811374e-01	-4.877968e+01	4.789249e+01	5.904453e+01	5.920359e+01	2.500000e+01	1.006293e+02	5.435296e+01	1.104893e+02
6.600000000000000e+06	9.812452e-01	1.814546e+00	8.494790e-01	-4.536364e+01	4.451286e+01	5.799703e+01	5.807282e+01	2.500000e+01	1.053677e+02	5.240011e+01	1.065629e+02
6.700000000000000e+06	9.807091e-01	1.689721e+00	8.195162e-01	-4.224303e+01	4.142813e+01	5.650753e+01	5.662589e+01	2.500000e+01	1.097129e+02	5.055186e+01	1.028489e+02
6.780000000000000e+06	9.802874e-01	1.602274e+00	7.978568e-01	-4.005684e+01	3.926722e+01	5.623223e+01	5.620489e+01	2.500000e+01	1.133882e+02	4.921580e+01	1.001643e+02
6.800000000000000e+06	9.802017e-01	1.582067e+00	7.927754e-01	-3.955169e+01	3.876863e+01	5.629176e+01	5.638687e+01	2.500000e+01	1.143411e+02	4.890235e+01	9.953534e+01
6.900000000000000e+06	9.774445e-01	1.493042e+00	7.690629e-01	-3.732604e+01	3.648413e+01	5.788631e+01	5.804824e+01	2.500000e+01	1.208105e+02	4.743965e+01	9.667321e+01
7.000000000000000e+06	9.786680e-01	1.407354e+00	7.471353e-01	-3.518385e+01	3.443330e+01	5.932460e+01	5.923606e+01	2.500000e+01	1.273599e+02	4.608704e+01	9.388251e+01
7.100000000000000e+06	9.753532e-01	1.325839e+00	7.239462e-01	-3.314597e+01	3.232903e+01	6.144728e+01	6.131767e+01	2.500000e+01	1.374718e+02	4.465662e+01	9.101272e+01
7.200000000000000e+06	9.671795e-01	1.232576e+00	6.950888e-01	-3.081440e+01	2.980305e+01	6.403951e+01	6.421183e+01	2.500000e+01	1.506282e+02	4.287655e+01	8.743670e+01
7.300000000000000e+06	9.448267e-01	1.120197e+00	6.549426e-01	-2.800493e+01	2.645980e+01	6.754154e+01	6.731887e+01	2.500000e+01	1.664324e+02	4.040014e+01	8.246370e+01
7.400000000000000e+06	8.826476e-01	1.002199e+00	5.987570e-01	-2.505498e+01	2.211472e+01	7.121617e+01	7.112196e+01	2.500000e+01	1.833293e+02	3.693433e+01	7.550333e+01
7.500000000000000e+06	7.312142e-01	9.256882e-01	5.237627e-01	-2.314221e+01	1.692191e+01	7.498960e+01	7.499209e+01	2.500000e+01	1.994361e+02	3.230830e+01	6.620786e+01
