vdc	eff	iin	iout	mrfreq	pinavg	poutavg	vds1max	vds2max	vin	vmrpp	vout	vsecpp
1.800000000000000e+01	9.752131e-01	1.123896e+00	5.655342e-01	1.355872e+07	-2.023012e+01	1.972868e+01	3.995208e+01	3.995978e+01	1.800000e+01	8.265158e+01	3.488498e+01	7.137330e+01
1.850000000000000e+01	9.756997e-01	1.157971e+00	5.821067e-01	1.355649e+07	-2.142246e+01	2.090189e+01	4.111104e+01	4.109749e+01	1.850000e+01	8.493222e+01	3.590725e+01	7.342705e+01
1.900000000000000e+01	9.760189e-01	1.192225e+00	5.986801e-01	1.356244e+07	-2.265227e+01	2.210904e+01	4.227069e+01	4.230563e+01	1.900000e+01	8.726257e+01	3.692958e+01	7.548118e+01
1.950000000000000e+01	9.765551e-01	1.226218e+00	6.152610e-01	1.356154e+07	-2.391125e+01	2.335065e+01	4.345924e+01	4.337498e+01	1.950000e+01	8.944214e+01	3.795238e+01	7.753734e+01
2.000000000000000e+01	9.770997e-01	1.260190e+00	6.318475e-01	1.356892e+07	-2.520379e+01	2.462662e+01	4.452980e+01	4.460786e+01	2.000000e+01	9.165051e+01	3.897551e+01	7.959212e+01
2.050000000000000e+01	9.773672e-01	1.294501e+00	6.484356e-01	1.356456e+07	-2.653726e+01	2.593665e+01	4.565875e+01	4.567469e+01	2.050000e+01	9.371456e+01	3.999875e+01	8.164924e+01
2.100000000000000e+01	9.778895e-01	1.328479e+00	6.650309e-01	1.356622e+07	-2.789806e+01	2.728122e+01	4.685456e+01	4.688519e+01	2.100000e+01	9.597582e+01	4.102243e+01	8.370490e+01
2.150000000000000e+01	9.781108e-01	1.362843e+00	6.816260e-01	1.356126e+07	-2.930113e+01	2.865975e+01	4.803938e+01	4.797413e+01	2.150000e+01	9.808322e+01	4.204610e+01	8.576129e+01
2.200000000000000e+01	9.784005e-01	1.397117e+00	6.982260e-01	1.356200e+07	-3.073658e+01	3.007268e+01	4.930193e+01	4.920583e+01	2.200000e+01	1.005158e+02	4.307007e+01	8.781976e+01
2.250000000000000e+01	9.788432e-01	1.431152e+00	7.148264e-01	1.355727e+07	-3.220092e+01	3.151965e+01	5.034109e+01	5.032525e+01	2.250000e+01	1.025678e+02	4.409407e+01	8.987708e+01
2.300000000000000e+01	9.792051e-01	1.465294e+00	7.314306e-01	1.356186e+07	-3.370177e+01	3.300095e+01	5.153682e+01	5.150779e+01	2.300000e+01	1.046269e+02	4.511830e+01	9.193426e+01
2.350000000000000e+01	9.795128e-01	1.499503e+00	7.480361e-01	1.356116e+07	-3.523832e+01	3.451638e+01	5.270363e+01	5.269009e+01	2.350000e+01	1.068887e+02	4.614260e+01	9.399223e+01
2.400000000000000e+01	9.797716e-01	1.533765e+00	7.646407e-01	1.355178e+07	-3.681037e+01	3.606575e+01	5.376136e+01	5.381077e+01	2.400000e+01	1.088774e+02	4.716686e+01	9.604870e+01
2.450000000000000e+01	9.800826e-01	1.567947e+00	7.812499e-01	1.356552e+07	-3.841470e+01	3.764958e+01	5.498711e+01	5.497331e+01	2.450000e+01	1.111176e+02	4.819140e+01	9.810722e+01
2.500000000000000e+01	9.802874e-01	1.602274e+00	7.978568e-01	1.355822e+07	-4.005684e+01	3.926722e+01	5.623223e+01	5.620489e+01	2.500000e+01	1.133882e+02	4.921580e+01	1.001643e+02
2.550000000000000e+01	9.807127e-01	1.636238e+00	8.144681e-01	1.355849e+07	-4.172407e+01	4.091932e+01	5.734109e+01	5.749207e+01	2.550000e+01	1.156057e+02	5.024047e+01	1.022239e+02
2.600000000000000e+01	9.808954e-01	1.670586e+00	8.310791e-01	1.357014e+07	-4.343524e+01	4.260543e+01	5.851326e+01	5.853249e+01	2.600000e+01	1.175773e+02	5.126512e+01	1.042802e+02
2.650000000000000e+01	9.811179e-01	1.704847e+00	8.476881e-01	1.356419e+07	-4.517844e+01	4.432537e+01	5.974316e+01	5.973466e+01	2.650000e+01	1.196696e+02	5.228964e+01	1.063381e+02
2.700000000000000e+01	9.813380e-01	1.739113e+00	8.643011e-01	1.355772e+07	-4.695606e+01	4.607977e+01	6.094911e+01	6.098131e+01	2.700000e+01	1.218806e+02	5.331441e+01	1.083980e+02
2.750000000000000e+01	9.815571e-01	1.773352e+00	8.809100e-01	1.356162e+07	-4.876718e+01	4.786777e+01	6.215896e+01	6.214736e+01	2.750000e+01	1.239203e+02	5.433893e+01	1.104543e+02
2.800000000000000e+01	9.818224e-01	1.807502e+00	8.975214e-01	1.356000e+07	-5.061005e+01	4.969009e+01	6.331515e+01	6.328950e+01	2.800000e+01	1.260934e+02	5.536361e+01	1.125142e+02
