duty	eff	iin	iout	mrfreq	pinavg	poutavg	vds1max	vds2max	vin	vmrpp	vout	vsecpp
3.000000000000000e-01	9.799989e-01	1.603703e+00	7.980953e-01	1.356125e+07	-4.009259e+01	3.929069e+01	5.591275e+01	5.580010e+01	2.500000e+01	1.133648e+02	4.923051e+01	1.001946e+02
3.100000000000000e-01	9.802874e-01	1.602274e+00	7.978568e-01	1.355822e+07	-4.005684e+01	3.926722e+01	5.591206e+01	5.586995e+01	2.500000e+01	1.133882e+02	4.921580e+01	1.001643e+02
3.200000000000000e-01	9.801881e-01	1.602499e+00	7.978727e-01	1.355894e+07	-4.006248e+01	3.926877e+01	5.601653e+01	5.595171e+01	2.500000e+01	1.134901e+02	4.921677e+01	1.001674e+02
3.300000000000000e-01	9.790081e-01	1.606611e+00	7.984146e-01	1.355063e+07	-4.016529e+01	3.932214e+01	5.624523e+01	5.621778e+01	2.500000e+01	1.141869e+02	4.925021e+01	1.002351e+02
3.400000000000000e-01	9.757712e-01	1.616649e+00	7.995799e-01	1.354214e+07	-4.041623e+01	3.943700e+01	5.608208e+01	5.622971e+01	2.500000e+01	1.142041e+02	4.932208e+01	1.003787e+02
3.500000000000000e-01	9.709299e-01	1.631963e+00	8.013624e-01	1.356343e+07	-4.079906e+01	3.961303e+01	5.586312e+01	5.595973e+01	2.500000e+01	1.138419e+02	4.943204e+01	1.005997e+02
3.600000000000000e-01	9.625895e-01	1.655846e+00	8.037304e-01	1.356487e+07	-4.139614e+01	3.984749e+01	5.583598e+01	5.589298e+01	2.500000e+01	1.137248e+02	4.957811e+01	1.008937e+02
3.700000000000000e-01	9.508452e-01	1.687914e+00	8.065104e-01	1.355538e+07	-4.219785e+01	4.012362e+01	5.664162e+01	5.649729e+01	2.500000e+01	1.143793e+02	4.974960e+01	1.012380e+02
3.800000000000000e-01	9.344993e-01	1.731246e+00	8.097461e-01	1.355829e+07	-4.328116e+01	4.044621e+01	5.725945e+01	5.723768e+01	2.500000e+01	1.152913e+02	4.994919e+01	1.016389e+02
3.900000000000000e-01	9.143745e-01	1.785056e+00	8.133321e-01	1.356118e+07	-4.462641e+01	4.080525e+01	5.817992e+01	5.812009e+01	2.500000e+01	1.164899e+02	5.017039e+01	1.020810e+02
4.000000000000000e-01	8.894842e-01	1.852455e+00	8.171898e-01	1.357396e+07	-4.631139e+01	4.119325e+01	5.905408e+01	5.917592e+01	2.500000e+01	1.182141e+02	5.040835e+01	1.025612e+02
